Player,Team,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS,CF,HA,PS
Morgan Petty,Albany,RF,0.545,0.643,0.939,1.582,12,42,33,10,18,2,1,3,7,2,7,1,8,0,American East,Home,0.185
Ella Squaires,UMBC,LF,0.475,0.575,0.525,1.101,19,73,59,21,28,3,0,0,2,0,14,4,12,0,American East,Home,0.169
Ashley Della Guardia,UMBC,1B,0.444,0.516,0.833,1.349,19,64,54,16,24,3,0,6,22,0,9,6,1,1,American East,Home,0.256
Emily Riggs,UMBC,2B,0.418,0.492,0.782,1.274,19,63,55,10,23,5,0,5,23,3,5,7,0,0,American East,Home,0.236
Caitlyn Mitros,Albany,LF,0.417,0.475,0.528,1.003,11,40,36,7,15,2,1,0,9,1,3,2,5,2,American East,Home,0.143
Brenna Davenport,UMass Lowell,1B,0.407,0.467,0.481,0.948,10,30,27,3,11,2,0,0,3,0,3,2,2,0,American East,Home,0.094
Sara Anderson,Albany,3B,0.4,0.486,0.433,0.919,12,35,30,7,12,1,0,0,0,0,5,5,1,0,American East,Home,0.196
Lindsey Walter,Binghamton,CF,0.391,0.462,0.522,0.983,18,54,46,15,18,1,1,1,2,1,5,6,6,1,American East,Home,0.175
Kyli Her--dez,Maine,3B,0.385,0.429,0.462,0.89,5,14,13,3,5,1,0,0,2,0,1,7,0,1,American East,Home,0.26
Alexis Clancy,Bryant,1B,0.383,0.433,0.667,1.1,19,67,60,16,23,6,1,3,19,2,4,8,2,2,American East,Home,0.015
Allison L’Amoreaux,Binghamton,1B,0.367,0.446,0.714,1.161,17,57,49,15,18,5,0,4,11,3,4,9,0,0,American East,Home,0.188
Megan Marcel,Bryant,3B,0.367,0.529,0.735,1.264,21,70,49,12,18,3,0,5,23,4,14,5,2,0,American East,Home,0.067
Victoria Vilarchao,Albany,DP,0.357,0.412,0.714,1.126,12,34,28,3,10,1,0,3,9,1,3,8,0,0,American East,Home,0.068
Makenna Coleman,Bryant,CF,0.345,0.465,0.672,1.137,21,71,58,19,20,4,3,3,12,1,12,0,5,1,American East,Home,-0.074
Hannah Cochran,Bryant,LF,0.328,0.411,0.656,1.067,21,75,64,16,21,3,0,6,19,1,8,8,10,0,American East,Home,-0.051
