"Player","POS","BA_Home","OBP_Home","SLG_Home","OPS_Home","GP_Home","PA_Home","AB_Home","R_Home","H_Home","2B_Home","3B_Home","HR_Home","RBI_Home","HBP_Home","BB_Home","K_Home","SB_Home","CS_Home","BA_Away","OBP_Away","SLG_Away","OPS_Away","GP_Away","PA_Away","AB_Away","R_Away","H_Away","2B_Away","3B_Away","HR_Away","RBI_Away","HBP_Away","BB_Away","K_Away","SB_Away","CS_Away","PS","WS","P4"
"Morgan Petty","RF",0.545,0.643,0.939,1.582,12,42,33,10,18,2,1,3,7,2,7,1,8,0,0.36,0.476,0.54,1.016,18,63,50,17,18,3,0,2,8,8,4,9,8,3,0.185,0,0
"Ella Squaires","LF",0.475,0.575,0.525,1.101,19,73,59,21,28,3,0,0,2,0,14,4,12,0,0.306,0.346,0.347,0.693,15,52,49,4,15,0,1,0,4,0,3,6,4,2,0.169,0,0
"Ashley Della Guardia","1B",0.444,0.516,0.833,1.349,19,64,54,16,24,3,0,6,22,0,9,6,1,1,0.188,0.316,0.208,0.524,17,57,48,7,9,1,0,0,3,0,9,6,1,0,0.256,0,0
"Emily Riggs","2B",0.418,0.492,0.782,1.274,19,63,55,10,23,5,0,5,23,3,5,7,0,0,0.182,0.333,0.295,0.629,16,54,44,3,8,2,0,1,5,1,9,19,0,0,0.236,0,0
"Caitlyn Mitros","LF",0.417,0.475,0.528,1.003,11,40,36,7,15,2,1,0,9,1,3,2,5,2,0.274,0.318,0.29,0.609,18,66,62,11,17,1,0,0,3,0,4,3,4,2,0.143,0,0
"Brenna Davenport","1B",0.407,0.467,0.481,0.948,10,30,27,3,11,2,0,0,3,0,3,2,2,0,0.313,0.356,0.403,0.759,23,75,67,10,21,3,0,1,7,0,5,6,0,0,0.094,0,0
"Sara Anderson","3B",0.4,0.486,0.433,0.919,12,35,30,7,12,1,0,0,0,0,5,5,1,0,0.204,0.259,0.204,0.463,18,56,49,3,10,0,0,0,6,1,3,2,0,1,0.196,0,0
"Lindsey Walter","CF",0.391,0.462,0.522,0.983,18,54,46,15,18,1,1,1,2,1,5,6,6,1,0.216,0.31,0.216,0.526,15,45,37,4,8,0,0,0,2,2,3,6,2,0,0.175,0,0
"Kyli Her--dez","3B",0.385,0.429,0.462,0.89,5,14,13,3,5,1,0,0,2,0,1,7,0,1,0.125,0.176,0.146,0.322,21,51,48,4,6,1,0,0,3,2,1,13,2,0,0.26,0,0
"Alexis Clancy","1B",0.383,0.433,0.667,1.1,19,67,60,16,23,6,1,3,19,2,4,8,2,2,0.368,0.405,0.529,0.935,20,75,68,11,25,5,0,2,9,3,2,8,2,1,0.015,0,0
"Allison L’Amoreaux","1B",0.367,0.446,0.714,1.161,17,57,49,15,18,5,0,4,11,3,4,9,0,0,0.179,0.304,0.385,0.689,15,47,39,5,7,2,0,2,8,3,4,13,0,0,0.188,0,0
"Megan Marcel","3B",0.367,0.529,0.735,1.264,21,70,49,12,18,3,0,5,23,4,14,5,2,0,0.3,0.386,0.417,0.802,20,71,60,9,18,4,0,1,9,4,5,11,3,0,0.067,0,0
"Victoria Vilarchao","DP",0.357,0.412,0.714,1.126,12,34,28,3,10,1,0,3,9,1,3,8,0,0,0.289,0.4,0.553,0.953,15,45,38,3,11,4,0,2,14,5,2,9,0,0,0.068,0,0
"Makenna Coleman","CF",0.345,0.465,0.672,1.137,21,71,58,19,20,4,3,3,12,1,12,0,5,1,0.419,0.457,0.721,1.177,15,47,43,12,18,4,0,3,13,1,2,7,5,2,-0.074,0,0
"Hannah Cochran","LF",0.328,0.411,0.656,1.067,21,75,64,16,21,3,0,6,19,1,8,8,10,0,0.379,0.406,0.515,0.921,19,69,66,16,25,6,0,1,15,0,3,11,7,0,-0.051,0,0
"Jerzie Nutile","P",0.326,0.396,0.512,0.907,17,49,43,11,14,5,0,1,11,2,3,6,0,0,0.222,0.276,0.556,0.831,11,29,27,6,6,0,0,3,5,0,2,4,0,0,0.104,0,0
"Anna Margetis","1B",0.323,0.333,0.452,0.785,10,33,31,5,10,1,0,1,5,1,0,5,0,0,0.155,0.218,0.197,0.415,26,78,71,6,11,0,0,1,3,3,3,16,0,0,0.168,0,0
"Trinadey Santiago","3B",0.32,0.32,0.36,0.68,8,25,25,1,8,1,0,0,2,0,0,4,0,1,0.207,0.313,0.328,0.641,23,70,58,3,12,1,0,2,10,1,8,16,0,0,0.113,0,0
"Amaya Carroll","SS",0.31,0.355,0.448,0.803,18,65,58,11,18,0,1,2,14,2,2,7,1,0,0.333,0.35,0.474,0.824,17,60,57,8,19,3,1,1,7,2,0,10,1,0,-0.023,0,0
"Gabby Papushka","RF",0.308,0.357,0.423,0.78,10,28,26,3,8,3,0,0,3,0,2,7,0,1,0.161,0.224,0.161,0.385,25,70,62,7,10,0,0,0,6,0,5,21,1,0,0.147,0,0
"Elizabeth Frederick","CF",0.296,0.367,0.37,0.737,10,31,27,1,8,2,0,0,2,0,3,4,4,1,0.237,0.33,0.447,0.777,24,88,76,16,18,5,1,3,11,1,10,10,4,1,0.059,0,0
"Brianna Santos","DP",0.295,0.386,0.41,0.796,19,70,61,13,18,7,0,0,4,4,5,5,3,0,0.37,0.453,0.5,0.953,15,53,46,9,17,3,0,1,3,0,7,1,1,1,-0.075,0,0
"Cayla Tulley","LF",0.294,0.409,0.529,0.939,8,22,17,3,5,1,0,1,4,0,4,5,1,0,0.179,0.258,0.232,0.49,21,63,56,10,10,3,0,0,4,1,5,24,5,2,0.115,0,0
"Aleix Hudson","2B",0.29,0.4,0.468,0.868,21,75,62,19,18,8,0,1,9,2,10,7,3,0,0.333,0.423,0.621,1.044,20,78,66,22,22,5,1,4,21,1,10,10,3,0,-0.043,0,0
"Maddy Dodig","2B",0.286,0.352,0.388,0.74,19,54,49,11,14,2,0,1,7,1,4,6,0,0,0.156,0.243,0.219,0.462,13,37,32,3,5,2,0,0,4,0,4,12,1,0,0.13,0,0
"Krista Francia","SS",0.276,0.417,0.414,0.83,10,36,29,6,8,2,1,0,4,2,5,1,0,0,0.219,0.286,0.25,0.536,24,73,64,6,14,2,0,0,5,0,6,10,0,1,0.057,0,0
"Deanna Grahek","SS",0.267,0.313,0.367,0.679,12,34,30,8,8,3,0,0,4,0,2,6,1,0,0.108,0.333,0.189,0.523,18,52,37,9,4,1,1,0,3,2,11,10,4,0,0.159,0,0
"Alexis Larrow","DP",0.263,0.404,0.395,0.799,16,51,38,4,10,2,0,1,8,4,5,7,0,0,0.317,0.378,0.366,0.744,15,45,41,4,13,2,0,0,7,1,3,13,0,0,-0.054,0,0
"Madison Petrella","C",0.25,0.375,0.375,0.75,12,40,32,4,8,2,1,0,10,0,7,4,1,0,0.389,0.459,0.685,1.144,18,61,54,12,21,4,0,4,16,0,7,10,1,1,-0.139,0,0
"Elisa Allen","C",0.25,0.375,0.531,0.906,14,40,32,5,8,0,0,3,11,4,3,8,0,0,0.16,0.323,0.28,0.603,12,31,25,3,4,0,0,1,2,2,4,9,0,0,0.09,0,0
"Amya Lundy","3B",0.25,0.328,0.385,0.712,18,58,52,8,13,2,1,1,3,1,5,9,3,2,0.37,0.473,0.609,1.081,17,56,46,7,17,2,0,3,12,1,8,7,1,0,-0.12,0,0
"Sam Rohwer","SS",0.235,0.371,0.51,0.881,21,63,51,12,12,2,0,4,16,0,11,7,1,0,0.265,0.403,0.327,0.73,19,63,49,12,13,0,0,1,9,1,11,12,3,0,-0.03,0,0
"Morgan Fisher","C",0.222,0.364,0.37,0.734,10,33,27,4,6,1,0,1,5,0,6,3,2,0,0.351,0.425,0.455,0.88,24,88,77,11,27,2,0,2,18,1,9,7,0,2,-0.129,0,0
"Katie Jo Moery","2B",0.219,0.219,0.25,0.469,10,32,32,1,7,1,0,0,6,0,0,5,1,0,0.267,0.321,0.36,0.681,26,81,75,9,20,7,0,0,6,2,4,17,7,1,-0.048,0,0
"Emily Tow","RF",0.207,0.233,0.31,0.544,10,30,29,4,6,0,0,1,1,0,1,5,1,0,0.246,0.254,0.292,0.546,22,68,65,9,16,0,0,1,6,0,1,15,5,0,-0.039,0,0
"Shelby Carvalho","3B",0.196,0.328,0.373,0.7,19,61,51,9,10,3,0,2,11,1,9,17,2,0,0.211,0.286,0.474,0.759,14,43,38,6,8,1,0,3,7,2,2,12,0,0,-0.015,0,0
"Mary Kate Murray","1B",0.161,0.263,0.29,0.553,12,38,31,2,5,1,0,1,5,0,5,3,0,0,0.255,0.305,0.455,0.76,17,59,55,7,14,2,0,3,15,1,3,9,0,0,-0.094,0,0
"Lea White","SS",0.147,0.216,0.147,0.363,10,37,34,3,5,0,0,0,2,0,3,1,6,0,0.388,0.467,0.613,1.08,24,92,80,26,31,4,1,4,16,1,11,7,6,0,-0.241,0,0
"Jordan Nastos","CF",0.139,0.162,0.139,0.301,12,37,36,3,5,0,0,0,2,0,1,6,0,0,0.358,0.424,0.453,0.877,18,60,53,14,19,2,0,1,4,2,4,6,4,2,-0.219,0,0
"Katelyn Fitzgerald","DP",0.138,0.167,0.172,0.339,10,30,29,1,4,1,0,0,1,0,1,5,0,0,0.333,0.378,0.333,0.712,22,75,69,4,23,0,0,0,5,1,4,12,0,0,-0.195,0,0
"Rylee Kent","3B",0.1,0.28,0.1,0.38,10,25,20,1,2,0,0,0,1,0,5,6,0,0,0.283,0.353,0.304,0.657,18,51,46,1,13,1,0,0,3,0,5,10,0,0,-0.183,0,0
"Isabel Quintanilla","2B",0.056,0.292,0.222,0.514,8,24,18,2,1,0,0,1,1,0,6,3,0,0,0.243,0.284,0.429,0.712,21,77,70,14,17,4,0,3,13,0,4,6,1,0,-0.187,0,0
"CC Wong","DP",0.519,0.643,1,1.643,19,70,52,22,27,7,0,6,24,0,18,4,4,0,0.414,0.518,0.743,1.261,22,85,70,23,29,4,2,5,19,0,15,6,0,1,0.105,0,0
"Addison Barnard","CF",0.481,0.569,1.352,1.921,19,66,54,23,26,8,0,13,25,1,10,6,4,1,0.383,0.554,0.867,1.421,22,83,60,21,23,2,0,9,18,0,23,7,4,4,0.098,0,0
"Imani Edwards","SS",0.46,0.478,0.81,1.287,20,67,63,23,29,4,3,4,15,1,2,0,5,1,0.273,0.321,0.364,0.685,23,86,77,12,21,2,1,1,11,2,4,7,6,1,0.187,0,0
"MacKenzie Denson","LF",0.446,0.471,0.462,0.932,20,70,65,13,29,1,0,0,4,0,3,3,8,1,0.282,0.325,0.333,0.659,23,86,78,12,22,2,1,0,7,0,5,4,3,1,0.164,0,0
"Jesiana Mora","3B",0.44,0.505,0.527,1.032,31,108,91,22,40,6,1,0,21,1,13,4,14,0,0.29,0.389,0.435,0.824,20,72,62,14,18,4,1,1,19,0,10,2,2,0,0.15,0,0
"Presley Leebrick","RF",0.425,0.564,0.563,1.127,31,117,87,30,37,6,0,2,15,2,27,11,9,0,0.26,0.443,0.36,0.803,19,70,50,15,13,2,0,1,8,2,16,8,0,0,0.165,0,0
